Model,MAE,MSE,R2
LinearRegression,82657.9460589282,10549721686.161528,0.9146454505137888
RobustRegression,199465.5595542932,61664910393.24945,0.501088199072818
RidgeRegression,82659.67244409773,10549745186.670176,0.91464526037841
LassoRegression,82657.94662172228,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.559587,0.8779812271613102
PolynomialRegression,83413.36443686995,10664698523.444197,0.9137152083292499
SGDRegressor,4.536239533152458e+17,2.4494391006977315e+35,-1.98176574845772e+24
ANN,199265.22777593063,61466559786.49462,0.5026929927520754
RandomForest,98501.34572607714,15089456419.77013,0.8779158547480209
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
